track,stored_sector,offset_hex,sha256,entropy,zero_bytes,high_bit_bytes,distinct_bytes
7,13,0x07d00,1bebcf619a04346a0d7e61e8262a4bbfcd849708211171de0407d74d62757fa4,3.354541,13,106,29
7,14,0x07e00,2314668169558f11313fd0105fcfe5a0d4df973da2f9702cd689f86114927a27,3.373504,13,104,31
7,15,0x07f00,62e633b91d8f578978b6ae963c18a7b4e5898e07d4a8b2d4dcba302d6870b3d1,3.568886,12,103,39
8,0,0x08000,15690e7182c5c3ec63f6e6ad3b599dae755944bbeb7e02f4702d934cb3c2483e,2.946148,1,71,28
8,1,0x08100,afee69dac26eceb4bf0aedbf16c5954cc1f5b1349ba92b5d2c576981db02b11a,4.003307,7,96,41
8,2,0x08200,2314668169558f11313fd0105fcfe5a0d4df973da2f9702cd689f86114927a27,3.373504,13,104,31
8,3,0x08300,62e633b91d8f578978b6ae963c18a7b4e5898e07d4a8b2d4dcba302d6870b3d1,3.568886,12,103,39
8,4,0x08400,38da200df28f0e401d550f9237cd8c99649a63a1e60eba163f263ed3e6fad92c,3.598390,26,104,36
8,5,0x08500,3eea6462257b82ee0626bae8295ded38da07737ff6c527b5c93f97458805919e,3.321750,69,119,30
8,6,0x08600,8af3f473944f0f8a2ef104f6e9c17595dee978957d9858190460ba1ebdd2fc43,1.189664,125,127,7
8,7,0x08700,adc3b573eb01258aadbb659dd76d3cc653ed281251395c9180d9c043a123ee05,1.091015,126,127,4
8,8,0x08800,591fc084d5eba7d8f2e00ff28c42bb0136d1885dd30e48811d7acad45e7b4d76,5.862552,7,154,91
8,9,0x08900,ac8367fe6a85acce8b6f3f9df064339a9b3151298c292237ea920751f2d41f38,5.643812,2,97,68
8,10,0x08a00,70a8e952c56bbce8e21cc8a7b8aa2fca3b4cf009cd1714559ea8370c6eab6ac5,5.363178,21,37,68
8,11,0x08b00,a3ab42065f1585e492537663ed8f5e53bc6ffe49b485e67d42cc53af328dec11,5.444358,20,137,88
8,12,0x08c00,687a748fc0446eede29d75fa638fa81b74c370f7723523ea53074cf6ea199bba,5.249396,1,229,75
8,13,0x08d00,409978cdd77adc7ffbeb8f7400684f1ae27e38f31d2a76ef6e7149660ccf4fc5,4.322131,0,256,38
8,14,0x08e00,2f47de5b8f3cbd51a107e1bef962877cd91c3fc5d1abf7e035fb7b7d34eb66a6,4.295054,0,256,33
8,15,0x08f00,e4eea03ae0fe5f6d6cff85ae684636cf14650e76fc9dfa5d1666574677167c7e,4.522825,2,254,44
9,0,0x09000,8b30e866ff7421fa6ed66669344dd78f9b02c39debd98353ce71ff203ab30e5d,4.490972,0,256,39
9,1,0x09100,8c1cca9f0e56e2852ed3b291aa3f311e8c3afabac26be3b1beb670c30332605d,4.157214,0,256,27
9,2,0x09200,d85dffb0aa931c0dc815c906875b80fa0ac457fc991b34bd1189b08053865b0c,4.817484,2,254,50
9,3,0x09300,56dff110a862af7b3999b4407cdcce47d8dd4e2db61458ae23d1f662608cf59a,4.238062,0,256,35
9,4,0x09400,401d49e2a881dd97774bde70c2b244fc99979786b91c8a1833ca81eca99b6577,4.413080,0,256,35
9,5,0x09500,40d5ed608387cd2b6412f0fa5e9fae289903d6c7382eb1e2e7f3c1196e68a1e7,4.743159,2,254,49
9,6,0x09600,4050cc6ffc8a5f5e31667b57bb11d5fa6fcdae299788e9a3d01ac67b8a912832,4.352190,0,256,39
9,7,0x09700,7c2b6e5a4707facd1709da31d87adf8c416a61747c4ff2d451b5942cf21698d6,4.366973,0,256,35
9,8,0x09800,6dae2d914a60202d913ba4ccae586990ef7a3b7902a5853b0cddd7d5921a12eb,4.734497,2,254,47
9,9,0x09900,e9370eb429d907ed0e425d02673c97aca8ffa7126a4a2f3732ed2f1c106cfac0,4.385542,0,256,38
9,10,0x09a00,53cfc051e2839b0130c00c5d6d6217acb4c5ee735ceca7f5360a9699d11ce2ea,4.090283,0,256,29
9,11,0x09b00,862b2c6b7d704ad1a6823e008c246ee5e503f3ea10de558676b3d209c1dbf89b,4.280099,0,256,34
9,12,0x09c00,6ac0b25efce53a3a7314d7a05ccf8689b0561966311986aee7d8c9a1f90c914d,4.242587,0,256,31
9,13,0x09d00,6c97c4492b82ee63a267d4cbf1ffe1a2a30c7d04940161aed710542830ea5e2d,4.673604,2,254,44
